TransactionID,Date,CustomerID,Product,Category,Region,Quantity,UnitPrice,Sales,PaymentMethod,Channel
54,2026-12-24,C2826,Office Chair,Furniture,East,10,9715,97150,Cash,Store
55,2026-04-27,C1052,Desk,Furniture,South,3,14224,42672,Net Banking,Online
56,2026-11-07,C1676,Headphones,Accessories,Northeast,8,3828,30624,Debit Card,Store
57,2026-10-08,C1022,Monitor,Electronics,West,2,18221,36442,Net Banking,Online
58,2026-04-18,C1680,Mouse,Accessories,South,10,1431,14310,Cash,Distributor
59,2026-01-12,C1970,Office Chair,Furniture,Northeast,5,10698,53490,UPI,Store
60,2026-12-01,C2096,Keyboard,Accessories,Northeast,6,2792,16752,Credit Card,Store
61,2026-06-04,C1798,Headphones,Accessories,Central,3,3879,11637,Net Banking,Distributor
62,2026-05-15,C1269,Printer,Office,Central,9,11869,106821,Debit Card,Store
63,2026-09-25,C2463,Laptop,Electronics,East,10,54297,542970,Net Banking,Distributor
64,2026-09-30,C2784,Monitor,Electronics,West,5,21397,106985,Cash,Online
65,2026-07-22,C1401,Keyboard,Accessories,West,3,3088,9264,UPI,Online
66,2026-02-10,C2326,Desk,Furniture,North,5,15850,79250,Net Banking,Online
67,2026-09-19,C1294,Desk,Furniture,East,9,13821,124389,Cash,Distributor
68,2026-06-06,C2707,Monitor,Electronics,West,4,20401,81604,Credit Card,Store
69,2026-05-07,C2992,Printer,Office,North,5,11512,57560,UPI,Online
70,2026-02-14,C1793,Monitor,Electronics,Northeast,9,21227,191043,Debit Card,Online
71,2026-03-16,C1173,Headphones,Accessories,East,10,3890,38900,Cash,Online
72,2026-10-13,C1775,Tablet,Electronics,North,3,28155,84465,Cash,Distributor
73,2026-04-25,C1858,Mobile,Electronics,East,6,25901,155406,Cash,Online
74,2026-10-19,C2492,Monitor,Electronics,West,5,21634,108170,Cash,Online
75,2026-02-16,C1764,Laptop,Electronics,South,1,65427,65427,Credit Card,Store
76,2026-01-22,C2304,Monitor,Electronics,South,1,18561,18561,Credit Card,Online
77,2026-02-12,C1552,Tablet,Electronics,Central,9,27117,244053,Net Banking,Distributor
78,2026-04-14,C2841,Office Chair,Furniture,East,1,9901,9901,Debit Card,Distributor
79,2026-08-03,C2035,Mobile,Electronics,North,4,26403,105612,Net Banking,Online
80,2026-05-09,C1911,Printer,Office,Central,9,11193,100737,Net Banking,Online
81,2026-04-17,C2888,Tablet,Electronics,Northeast,5,28417,142085,Debit Card,Store
82,2026-10-12,C1173,Tablet,Electronics,North,9,31293,281637,Credit Card,Store
83,2026-04-01,C3000,Printer,Office,East,4,12188,48752,Cash,Distributor
84,2026-07-06,C2751,Mobile,Electronics,South,10,27404,274040,UPI,Store
85,2026-12-30,C1794,Tablet,Electronics,Central,5,27385,136925,Net Banking,Distributor
86,2026-01-11,C1758,Monitor,Electronics,North,5,18388,91940,Cash,Distributor
87,2026-11-24,C1888,Keyboard,Accessories,Northeast,2,3131,6262,Cash,Store
88,2026-06-02,C2357,Office Chair,Furniture,East,7,10960,76720,Debit Card,Store
89,2026-06-02,C2608,Office Chair,Furniture,Central,8,10341,82728,Cash,Online
90,2026-06-21,C2459,Keyboard,Accessories,South,8,3064,24512,UPI,Online
91,2026-12-11,C1446,Office Chair,Furniture,West,1,9069,9069,Credit Card,Distributor
92,2026-06-07,C1148,Monitor,Electronics,Northeast,2,21526,43052,Net Banking,Store
93,2026-01-09,C1874,Keyboard,Accessories,West,1,3282,3282,Cash,Store
94,2026-12-18,C1231,Headphones,Accessories,Central,10,3787,37870,UPI,Distributor
95,2026-12-09,C1403,Monitor,Electronics,Central,9,18884,169956,Cash,Distributor
96,2026-02-22,C2121,Printer,Office,Central,6,12391,74346,Debit Card,Distributor
97,2026-05-26,C2136,Printer,Office,West,6,11311,67866,Credit Card,Store
98,2026-06-17,C2035,Headphones,Accessories,West,3,4212,12636,Net Banking,Online
99,2026-08-28,C2439,Printer,Office,East,3,13056,39168,UPI,Store
100,2026-02-14,C1054,Headphones,Accessories,Northeast,5,4118,20590,Debit Card,Online
101,2026-01-26,C2058,Keyboard,Accessories,West,2,2759,5518,Credit Card,Distributor
102,2026-11-25,C1469,Office Chair,Furniture,South,3,9497,28491,Net Banking,Online
103,2026-08-11,C1383,Office Chair,Furniture,South,9,9604,86436,Debit Card,Distributor
104,2026-12-16,C2759,Printer,Office,West,6,12927,77562,Cash,Distributor
105,2026-04-02,C1587,Mouse,Accessories,Central,5,1578,7890,UPI,Distributor
106,2026-05-29,C1309,Desk,Furniture,Central,3,15919,47757,Net Banking,Online
107,2026-01-18,C1655,Printer,Office,West,2,11483,22966,Credit Card,Online
108,2026-06-06,C1914,Tablet,Electronics,Central,5,29713,148565,Net Banking,Online
109,2026-12-31,C1246,Tablet,Electronics,Northeast,8,28504,228032,UPI,Store
110,2026-12-04,C2764,Laptop,Electronics,South,5,63198,315990,Debit Card,Store
111,2026-02-12,C2459,Printer,Office,Central,3,13151,39453,Credit Card,Online
112,2026-06-25,C1489,Mobile,Electronics,South,8,23582,188656,UPI,Store
113,2026-05-04,C1461,Keyboard,Accessories,East,3,2929,8787,Credit Card,Store
114,2026-09-30,C2343,Headphones,Accessories,East,4,4078,16312,Debit Card,Online
115,2026-03-02,C1463,Monitor,Electronics,Central,5,20073,100365,UPI,Online
116,2026-03-09,C1485,Desk,Furniture,Northeast,4,13999,55996,Credit Card,Distributor
117,2026-11-14,C1283,Mobile,Electronics,South,9,22906,206154,Net Banking,Distributor
118,2026-09-10,C2968,Tablet,Electronics,North,3,30374,91122,Cash,Online
119,2026-03-27,C2962,Mouse,Accessories,Central,2,1538,3076,UPI,Distributor
120,2026-06-08,C1888,Desk,Furniture,Central,1,14482,14482,Net Banking,Store
121,2026-10-15,C2754,Mouse,Accessories,West,2,1519,3038,UPI,Distributor
122,2026-04-28,C2678,Mobile,Electronics,South,1,26685,26685,Credit Card,Distributor
123,2026-12-24,C1247,Keyboard,Accessories,East,10,3096,30960,Net Banking,Online
124,2026-12-25,C2492,Office Chair,Furniture,Northeast,3,9884,29652,UPI,Online
125,2026-12-25,C2367,Office Chair,Furniture,Northeast,7,9330,65310,Net Banking,Online
126,2026-10-20,C2279,Headphones,Accessories,Central,5,4349,21745,UPI,Store
127,2026-01-29,C1151,Laptop,Electronics,Central,6,59043,354258,UPI,Store
128,2026-03-26,C2110,Office Chair,Furniture,West,4,10899,43596,Net Banking,Online
129,2026-12-12,C1896,Tablet,Electronics,Central,8,28363,226904,Credit Card,Online
130,2026-07-09,C1849,Mobile,Electronics,East,7,23416,163912,UPI,Online
131,2026-06-17,C1395,Laptop,Electronics,Central,5,63634,318170,UPI,Online
132,2026-01-28,C1264,Tablet,Electronics,North,2,30294,60588,Cash,Store
133,2026-01-29,C2226,Office Chair,Furniture,North,7,9246,64722,Cash,Distributor
134,2026-08-17,C1417,Office Chair,Furniture,Central,2,9281,18562,UPI,Store
135,2026-01-10,C1696,Printer,Office,East,1,11087,11087,Cash,Store
136,2026-04-04,C2252,Desk,Furniture,South,9,16346,147114,UPI,Distributor
137,2026-07-24,C1806,Printer,Office,North,4,11581,46324,UPI,Online
138,2026-11-01,C2736,Laptop,Electronics,Northeast,6,65213,391278,UPI,Distributor
139,2026-08-21,C1938,Keyboard,Accessories,East,1,2787,2787,Cash,Online
140,2026-06-02,C2712,Desk,Furniture,North,6,15395,92370,Cash,Store
141,2026-07-13,C1114,Desk,Furniture,Central,9,16422,147798,Credit Card,Online
142,2026-11-03,C1170,Monitor,Electronics,East,3,21312,63936,Credit Card,Distributor
143,2026-06-29,C2958,Mouse,Accessories,Northeast,8,1520,12160,Net Banking,Online
144,2026-01-28,C1407,Printer,Office,North,4,13102,52408,UPI,Store
145,2026-01-09,C1132,Office Chair,Furniture,North,10,9553,95530,Debit Card,Distributor
146,2026-08-16,C2116,Laptop,Electronics,North,9,65473,589257,Net Banking,Store
147,2026-05-20,C2127,Monitor,Electronics,Central,6,18160,108960,Credit Card,Store
148,2026-10-10,C2449,Laptop,Electronics,East,8,64694,517552,Credit Card,Distributor
149,2026-01-13,C1660,Printer,Office,Central,7,11020,77140,Cash,Distributor
150,2026-05-04,C2046,Tablet,Electronics,South,9,29758,267822,UPI,Distributor
151,2026-06-18,C2597,Desk,Furniture,West,6,15722,94332,Cash,Distributor
152,2026-01-20,C1735,Headphones,Accessories,East,8,4352,34816,Cash,Online
153,2026-05-01,C2089,Desk,Furniture,South,4,14339,57356,Credit Card,Store
154,2026-03-01,C2311,Mouse,Accessories,North,7,1643,11501,Credit Card,Online
155,2026-05-26,C2804,Office Chair,Furniture,East,4,10392,41568,Credit Card,Distributor
156,2026-12-27,C1060,Monitor,Electronics,Central,3,20260,60780,Credit Card,Distributor
157,2026-06-05,C1960,Mouse,Accessories,North,6,1634,9804,Net Banking,Online
158,2026-10-14,C1652,Mobile,Electronics,South,9,23745,213705,Net Banking,Distributor
159,2026-05-09,C2976,Mouse,Accessories,East,4,1603,6412,Debit Card,Distributor
160,2026-02-22,C1280,Mouse,Accessories,Central,6,1430,8580,UPI,Store
161,2026-04-19,C2807,Printer,Office,North,2,12830,25660,Credit Card,Distributor
162,2026-03-19,C1429,Desk,Furniture,West,4,15278,61112,Credit Card,Store
163,2026-02-15,C2319,Laptop,Electronics,North,8,58139,465112,Cash,Store
164,2026-02-24,C2473,Headphones,Accessories,West,2,3934,7868,Cash,Online
165,2026-09-27,C1286,Headphones,Accessories,North,4,4330,17320,Credit Card,Distributor
166,2026-07-24,C1013,Keyboard,Accessories,East,1,3177,3177,Credit Card,Store
167,2026-06-20,C2751,Mobile,Electronics,North,3,25053,75159,Net Banking,Store
168,2026-09-10,C2452,Printer,Office,North,6,11955,71730,Cash,Online
169,2026-12-14,C1474,Tablet,Electronics,Northeast,7,31575,221025,Net Banking,Store
170,2026-06-17,C2651,Headphones,Accessories,Central,5,4121,20605,Cash,Distributor
171,2026-03-31,C2269,Laptop,Electronics,East,8,55224,441792,Cash,Store
172,2026-03-04,C2765,Headphones,Accessories,East,5,3947,19735,Credit Card,Distributor
173,2026-06-24,C2279,Printer,Office,Northeast,6,12761,76566,Debit Card,Online
174,2026-04-08,C1342,Tablet,Electronics,West,2,29778,59556,Cash,Distributor
175,2026-10-08,C1003,Mobile,Electronics,East,4,27275,109100,UPI,Store
176,2026-12-11,C1009,Mouse,Accessories,South,4,1567,6268,Cash,Online
177,2026-11-15,C1081,Mobile,Electronics,Northeast,10,27471,274710,Debit Card,Store
178,2026-10-11,C1029,Mouse,Accessories,South,8,1592,12736,Cash,Distributor
179,2026-06-17,C2387,Mouse,Accessories,West,8,1522,12176,Debit Card,Distributor
180,2026-03-03,C2894,Mobile,Electronics,Central,2,27346,54692,UPI,Online
181,2026-10-15,C1022,Mouse,Accessories,Northeast,8,1491,11928,Cash,Store
182,2026-03-30,C1538,Keyboard,Accessories,East,3,2758,8274,Cash,Online
183,2026-04-08,C1276,Mobile,Electronics,West,1,23018,23018,UPI,Store
184,2026-08-23,C1948,Printer,Office,East,5,12480,62400,Cash,Distributor
185,2026-03-26,C1810,Tablet,Electronics,East,8,32680,261440,UPI,Distributor
186,2026-06-04,C1268,Printer,Office,North,4,13143,52572,Debit Card,Store
187,2026-03-18,C2734,Monitor,Electronics,East,4,18745,74980,Net Banking,Online
188,2026-08-13,C1120,Monitor,Electronics,West,3,19779,59337,Debit Card,Distributor
189,2026-08-17,C1382,Printer,Office,South,9,12892,116028,Cash,Online
190,2026-12-15,C2132,Desk,Furniture,North,10,15088,150880,Debit Card,Online
191,2026-03-06,C2566,Mobile,Electronics,North,2,23120,46240,UPI,Distributor
192,2026-03-26,C1821,Mobile,Electronics,South,5,26957,134785,Cash,Store
193,2026-11-01,C1020,Printer,Office,Central,8,13127,105016,UPI,Online
194,2026-11-08,C1570,Office Chair,Furniture,South,7,9635,67445,Credit Card,Online
195,2026-10-27,C1326,Tablet,Electronics,Central,4,31117,124468,Cash,Online
196,2026-10-12,C2646,Monitor,Electronics,North,3,20921,62763,Debit Card,Online
197,2026-06-28,C2879,Printer,Office,West,1,11069,11069,Net Banking,Store
198,2026-12-19,C2278,Mouse,Accessories,South,9,1522,13698,Credit Card,Distributor
199,2026-07-02,C1560,Keyboard,Accessories,Central,10,3159,31590,UPI,Online
200,2026-07-09,C2573,Printer,Office,South,10,11458,114580,Net Banking,Online
201,2026-07-30,C1322,Monitor,Electronics,Northeast,1,21031,21031,Cash,Distributor
202,2026-09-23,C2529,Tablet,Electronics,West,9,32597,293373,Credit Card,Online
203,2026-07-14,C1505,Desk,Furniture,South,8,13693,109544,Credit Card,Store
204,2026-10-19,C1350,Tablet,Electronics,North,2,32121,64242,Cash,Distributor
205,2026-04-10,C2036,Printer,Office,North,2,12705,25410,Debit Card,Store
206,2026-11-26,C1226,Mobile,Electronics,South,10,25433,254330,UPI,Online
207,2026-12-05,C2579,Mouse,Accessories,North,3,1631,4893,Debit Card,Store
208,2026-06-10,C2558,Desk,Furniture,Northeast,5,16271,81355,Debit Card,Store
209,2026-12-26,C2055,Printer,Office,West,10,12848,128480,UPI,Distributor
210,2026-09-09,C2501,Desk,Furniture,South,7,13998,97986,UPI,Distributor
211,2026-11-02,C1130,Office Chair,Furniture,West,10,9903,99030,Credit Card,Distributor
212,2026-09-02,C2878,Printer,Office,Central,3,11543,34629,UPI,Store
213,2026-10-29,C1091,Keyboard,Accessories,Northeast,9,3077,27693,Credit Card,Online
214,2026-02-03,C1948,Desk,Furniture,Northeast,1,13678,13678,Credit Card,Store
215,2026-05-02,C1677,Mobile,Electronics,South,3,23457,70371,Net Banking,Online
216,2026-07-30,C2752,Office Chair,Furniture,Northeast,9,10048,90432,UPI,Distributor
217,2026-07-01,C2788,Mobile,Electronics,South,3,25024,75072,Credit Card,Online
218,2026-05-02,C2147,Printer,Office,South,10,10966,109660,UPI,Online
219,2026-08-24,C2851,Mobile,Electronics,North,7,23352,163464,Net Banking,Distributor
220,2026-08-24,C1502,Monitor,Electronics,Northeast,4,19676,78704,Credit Card,Store
221,2026-09-15,C2201,Tablet,Electronics,West,5,29159,145795,Credit Card,Distributor
222,2026-06-11,C1990,Mouse,Accessories,North,5,1628,8140,Debit Card,Store
223,2026-05-11,C2868,Headphones,Accessories,Central,8,3855,30840,Credit Card,Store
224,2026-06-29,C2712,Keyboard,Accessories,Central,5,2848,14240,Debit Card,Distributor
225,2026-05-07,C2811,Monitor,Electronics,West,4,20446,81784,Credit Card,Online
226,2026-04-17,C2060,Mouse,Accessories,Central,7,1554,10878,UPI,Online
227,2026-09-11,C1706,Keyboard,Accessories,Northeast,7,3091,21637,Net Banking,Online
228,2026-05-20,C1144,Tablet,Electronics,Central,4,32104,128416,UPI,Store
229,2026-04-12,C1059,Printer,Office,West,1,11570,11570,Net Banking,Store
230,2026-02-28,C1071,Monitor,Electronics,Central,4,19976,79904,Cash,Online
231,2026-06-24,C2639,Printer,Office,Central,4,11794,47176,Cash,Store
232,2026-09-03,C2736,Mouse,Accessories,Central,6,1397,8382,UPI,Distributor
233,2026-09-23,C2557,Laptop,Electronics,Central,10,54184,541840,Cash,Store
234,2026-05-15,C1684,Laptop,Electronics,Northeast,1,55690,55690,Net Banking,Distributor
235,2026-08-15,C2870,Desk,Furniture,North,9,14100,126900,UPI,Online
236,2026-05-04,C1039,Desk,Furniture,North,6,14455,86730,Cash,Online
237,2026-10-25,C1374,Monitor,Electronics,East,7,19518,136626,Credit Card,Online
238,2026-03-15,C2280,Mouse,Accessories,Northeast,1,1578,1578,Debit Card,Store
239,2026-11-14,C2469,Printer,Office,East,4,12741,50964,Net Banking,Distributor
240,2026-01-24,C2795,Tablet,Electronics,East,8,32935,263480,Credit Card,Online
241,2026-04-12,C1410,Monitor,Electronics,Central,10,21957,219570,Cash,Distributor
242,2026-04-25,C1220,Monitor,Electronics,Central,3,21162,63486,Cash,Online
243,2026-07-14,C1179,Mouse,Accessories,Northeast,9,1539,13851,Cash,Store
244,2026-11-03,C2743,Mobile,Electronics,East,1,27181,27181,Credit Card,Online
245,2026-05-07,C1463,Printer,Office,Central,10,12679,126790,Net Banking,Distributor
246,2026-12-26,C2102,Tablet,Electronics,South,9,28851,259659,Cash,Store
247,2026-10-16,C1369,Mouse,Accessories,Northeast,5,1557,7785,Debit Card,Online
248,2026-01-09,C1212,Office Chair,Furniture,Northeast,4,9450,37800,Cash,Store
249,2026-10-11,C1645,Printer,Office,Northeast,1,12442,12442,UPI,Distributor
250,2026-10-30,C2886,Headphones,Accessories,Central,3,3674,11022,UPI,Store
251,2026-09-27,C1302,Keyboard,Accessories,West,7,2910,20370,Cash,Distributor
252,2026-08-30,C2857,Tablet,Electronics,North,1,29515,29515,Debit Card,Online
253,2026-11-05,C2130,Laptop,Electronics,South,1,63691,63691,UPI,Distributor
254,2026-02-11,C2422,Printer,Office,Central,2,12318,24636,Credit Card,Distributor
255,2026-04-02,C1047,Laptop,Electronics,North,6,64504,387024,Debit Card,Store
256,2026-05-25,C1666,Mouse,Accessories,North,7,1425,9975,Debit Card,Distributor
257,2026-05-04,C1841,Office Chair,Furniture,Northeast,6,10983,65898,Cash,Distributor
258,2026-04-01,C2166,Monitor,Electronics,East,5,20976,104880,Cash,Distributor
259,2026-07-20,C1618,Headphones,Accessories,Northeast,3,4345,13035,Net Banking,Distributor
260,2026-09-28,C1161,Tablet,Electronics,North,9,27601,248409,UPI,Store
261,2026-12-21,C2492,Office Chair,Furniture,West,3,10580,31740,UPI,Distributor
262,2026-11-27,C1121,Headphones,Accessories,North,1,3722,3722,Net Banking,Distributor
263,2026-01-16,C1186,Desk,Furniture,South,3,15741,47223,UPI,Online
264,2026-04-23,C2216,Tablet,Electronics,South,9,28976,260784,Debit Card,Distributor
265,2026-11-06,C1261,Mouse,Accessories,South,7,1496,10472,Credit Card,Distributor
266,2026-08-11,C1040,Mouse,Accessories,North,6,1510,9060,Net Banking,Online
267,2026-08-19,C1658,Laptop,Electronics,Central,6,57059,342354,Credit Card,Distributor
268,2026-07-21,C1577,Tablet,Electronics,South,1,28064,28064,UPI,Store
269,2026-10-05,C2016,Printer,Office,East,2,12929,25858,Debit Card,Online
270,2026-03-27,C1831,Laptop,Electronics,Central,4,60928,243712,Cash,Distributor
271,2026-06-12,C1708,Laptop,Electronics,South,1,58210,58210,Credit Card,Online
272,2026-06-23,C2797,Tablet,Electronics,East,10,30669,306690,Net Banking,Online
273,2026-12-18,C1929,Printer,Office,East,3,12043,36129,Debit Card,Distributor
274,2026-10-15,C1560,Tablet,Electronics,East,3,32503,97509,Credit Card,Distributor
275,2026-05-16,C2186,Laptop,Electronics,Northeast,6,54732,328392,Credit Card,Distributor
276,2026-09-09,C1592,Printer,Office,Northeast,3,10817,32451,Cash,Online
277,2026-10-28,C1535,Office Chair,Furniture,Northeast,5,10106,50530,Net Banking,Online
278,2026-08-28,C2277,Monitor,Electronics,North,5,18291,91455,Net Banking,Online
279,2026-12-11,C1193,Mobile,Electronics,East,6,23012,138072,Debit Card,Online
280,2026-12-20,C1775,Headphones,Accessories,West,3,3932,11796,Cash,Store
281,2026-10-13,C1474,Mouse,Accessories,Northeast,3,1564,4692,Debit Card,Online
282,2026-06-09,C1162,Office Chair,Furniture,West,7,10881,76167,Net Banking,Online
283,2026-12-16,C1135,Tablet,Electronics,North,7,32930,230510,Cash,Store
284,2026-11-17,C1925,Printer,Office,South,2,12057,24114,Credit Card,Distributor
285,2026-01-07,C1703,Tablet,Electronics,Central,3,31370,94110,UPI,Online
286,2026-07-26,C2145,Mouse,Accessories,Central,2,1632,3264,Net Banking,Store
287,2026-12-31,C1239,Office Chair,Furniture,Northeast,5,9028,45140,Debit Card,Distributor
288,2026-01-23,C1972,Desk,Furniture,South,10,15972,159720,Debit Card,Store
289,2026-10-09,C2102,Laptop,Electronics,Northeast,4,56561,226244,Net Banking,Online
290,2026-05-06,C2871,Mouse,Accessories,South,3,1416,4248,Net Banking,Distributor
291,2026-04-24,C1761,Mouse,Accessories,South,10,1620,16200,Debit Card,Distributor
292,2026-08-14,C2255,Monitor,Electronics,East,5,19659,98295,Debit Card,Distributor
293,2026-12-29,C2975,Mouse,Accessories,East,10,1542,15420,Credit Card,Store
294,2026-03-20,C2321,Monitor,Electronics,South,1,19451,19451,Cash,Online
295,2026-11-29,C2340,Keyboard,Accessories,North,9,3036,27324,UPI,Store
296,2026-08-23,C2292,Keyboard,Accessories,Central,6,2717,16302,Credit Card,Online
297,2026-01-05,C2343,Mouse,Accessories,North,9,1397,12573,Debit Card,Store
298,2026-06-29,C2437,Mobile,Electronics,North,4,24552,98208,Debit Card,Store
299,2026-12-05,C2527,Tablet,Electronics,Central,8,29025,232200,UPI,Online
300,2026-03-29,C2207,Tablet,Electronics,West,9,29934,269406,UPI,Online
301,2026-10-08,C2849,Laptop,Electronics,West,3,56225,168675,UPI,Store
302,2026-02-03,C1516,Mouse,Accessories,South,9,1477,13293,Net Banking,Store
303,2026-07-25,C2481,Monitor,Electronics,East,6,19584,117504,Cash,Online
304,2026-03-10,C2465,Office Chair,Furniture,North,9,10697,96273,UPI,Distributor
305,2026-08-08,C2652,Office Chair,Furniture,North,5,10309,51545,Cash,Distributor
306,2026-02-15,C2392,Mouse,Accessories,Northeast,8,1627,13016,Cash,Distributor
307,2026-07-20,C2226,Mouse,Accessories,Central,9,1586,14274,UPI,Distributor
308,2026-01-12,C2014,Office Chair,Furniture,East,3,9894,29682,Debit Card,Distributor
309,2026-06-26,C1079,Desk,Furniture,East,5,13711,68555,UPI,Distributor
310,2026-05-25,C2804,Tablet,Electronics,West,6,31330,187980,Credit Card,Store
311,2026-07-30,C2658,Office Chair,Furniture,South,1,10555,10555,Cash,Online
312,2026-05-12,C1070,Keyboard,Accessories,South,5,2708,13540,Cash,Online
313,2026-06-20,C1411,Keyboard,Accessories,East,10,2816,28160,Cash,Online
314,2026-12-01,C2392,Printer,Office,Northeast,8,12254,98032,Cash,Store
315,2026-10-18,C1203,Monitor,Electronics,West,2,21253,42506,Cash,Store
316,2026-09-13,C2726,Office Chair,Furniture,East,6,10687,64122,Debit Card,Online
317,2026-10-20,C2583,Laptop,Electronics,North,1,65596,65596,Credit Card,Store
318,2026-10-18,C1368,Monitor,Electronics,Northeast,7,20729,145103,UPI,Store
319,2026-08-07,C1706,Keyboard,Accessories,North,9,2945,26505,UPI,Store
320,2026-03-24,C2458,Mouse,Accessories,North,3,1567,4701,Cash,Distributor
321,2026-09-13,C1013,Keyboard,Accessories,East,3,3212,9636,Credit Card,Online
322,2026-03-07,C1496,Desk,Furniture,Northeast,6,15346,92076,Credit Card,Online
323,2026-01-21,C2910,Laptop,Electronics,North,9,58639,527751,Cash,Online
324,2026-05-28,C2019,Mobile,Electronics,Northeast,10,23664,236640,Net Banking,Online
325,2026-04-07,C1104,Mobile,Electronics,Central,10,24231,242310,Credit Card,Online
326,2026-05-01,C2117,Printer,Office,East,2,11731,23462,Credit Card,Distributor
327,2026-10-09,C2898,Headphones,Accessories,West,4,4274,17096,Net Banking,Online
328,2026-11-09,C2780,Keyboard,Accessories,West,5,2866,14330,Cash,Store
329,2026-06-27,C1046,Tablet,Electronics,Central,5,31244,156220,Cash,Store
